Dataset,Classifier,Train %,Run,Train Acc,CV Acc,Test Acc,Best Params
Adult,NeuralNet,80,3,0.8708,0.8575,0.8572,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Adult,KNN,80,3,0.8704,0.8446,0.8433,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}"
Spambase,SVM-RBF,20,1,0.975,0.8989,0.9171,"{'clf__gamma': 'scale', 'clf__C': 10}"
Spambase,RandomForest,20,1,1.0,0.9348,0.9413,"{'clf__max_depth': 30, 'clf__n_estimators': 500}"
Spambase,XGBoost,20,1,0.9978,0.9218,0.9424,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,20,1,0.8967,0.9022,0.8873,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,20,1,1.0,0.8761,0.8845,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,20,2,0.9522,0.9076,0.9101,"{'clf__gamma': 'scale', 'clf__C': 1}"
Spambase,RandomForest,20,2,1.0,0.9207,0.9421,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Spambase,XGBoost,20,2,0.9924,0.9217,0.947,"{'clf__n_estimators': 200, 'clf__max_depth': 6, 'clf__learning_rate': 0.05}"
Spambase,NeuralNet,20,2,0.9261,0.912,0.9174,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Spambase,KNN,20,2,1.0,0.8728,0.8837,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}"
Spambase,SVM-RBF,20,3,0.937,0.9011,0.9133,"{'clf__gamma': 'scale', 'clf__C': 1}"
Spambase,RandomForest,20,3,1.0,0.9391,0.9389,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Spambase,XGBoost,20,3,0.9989,0.9337,0.9348,"{'clf__n_estimators': 200, 'clf__max_depth': 10, 'clf__learning_rate': 0.1}"
